name,total_length,compressed_length,compression_ratio,file_size
0110490ae7d67fd8ecece5aa5a1513d4841448601c3298c43b474ff009a9a618,542683.0,103815.0,5.2274046,527985.0
01107f302034d2117eee78a8699cad0e3493ab66d6314a17ff21ed49d6f36e2a,19524.0,4211.0,4.6364284,19004.0
0100dd89e7cfd90f3798c598926d86ebbfb8bdb2396b3450153f2187391c286e,2095569.0,387881.0,5.402608,2038342.0
00648735e53d5374ef9557b0b02fe7096cbfb6206fc0fd03c5a9a14a2af27c09,33910616.0,5272617.0,6.431458,33106108.0
0110bd0152d75e3b264f99038f3ad6caef177220bb1a16685eb69fc61dd7f513,461232.0,99723.0,4.6251316,443889.0
0113bddb8c8fe0f2efcd447fe491ed1b61bfa32e17e460c170b8ac959636f2f9,27240.0,5996.0,4.543029,26619.0
00a9a7ad7b4af99fd29bc28f8ab6999ed4c2329fa240acd90a989945654255ec,29206332.0,5456725.0,5.3523555,28400382.0
011113ad23b3e3b43ad249b7499f80aba5ce154489cb971331f1803b29ca45c4,1784441.0,308227.0,5.789373,1742010.0
012146f11c2230a7c5d8fca8060317b9943cffe0e585507cd94b7fcff0fd8aea,94651.0,18159.0,5.2123466,92120.0
01142c984a254d62294447a7d2ed396f5c62564c6ef4be1fc003a0fb33a3cd33,3133436.0,481863.0,6.502753,3060753.0
00e961fa2829f45113d19674d55524c311385cc3b5334095db235f2260f5cebf,13504474.0,2311555.0,5.8421597,13168505.0
012bddd835ff5926ce3409d8d2752494ad5761bfe94bc1533f63a39066814de5,184056.0,32546.0,5.655257,179895.0
011f4ab1f636a24b2f0b2d0086947a3d394bbef3423ccb52161de8df265220c7,6138758.0,1048771.0,5.853287,5986044.0
0121a9f3ec5baf6e7e7e6f21cb6b1fe3eb807ffc37f66d163730bc79693890be,4920742.0,908190.0,5.4181857,4788046.0
01373bcde6d7564d909d718c610fc3114f325769c2aca84844b0dd0967398cf5,323028.0,59090.0,5.466712,314267.0
011af39373fb58ff14033a527e7e4520c7b02732887d0a216f512a4e47b1c151,6607471.0,1270761.0,5.1996174,6436010.0
0139146555814ed3ef16e36fb839dd4265cc5cb033a4500f43ef20b48a506675,23098.0,5266.0,4.3862514,22232.0
00906e4151797d1a80f475a291ff4081c7d21cb196382b1cc82df2b1c4044aef,38172910.0,7059764.0,5.407109,37144276.0
012cb2c4528b4ba524cdd3b3dd5ef83755375a766a10b5c41ce58c318b4ac349,2338882.0,387880.0,6.0299115,2281603.0
0071f328a547b50bb5776201294bebb27362df756e6dc2caae13043d57a232ca,41717110.0,7933465.0,5.2583723,40645416.0
0143efb93fa29034977ad6da9389de1a33c15c4fb1d614717a41a3417ebd303e,264917.0,51476.0,5.1464176,257579.0
0129d770e1374978486a6c8e17b46c30c99a3acfafef4ac154c866dbc7c1bc79,5595207.0,930061.0,6.015957,5466642.0
01450e3aa6bb59fdd6e2d8c8bc3089c2aa61e35f4674813b8e74b2883b05884e,230863.0,46313.0,4.9848423,225566.0
0149e3a6cfdf57040329e37e640e3b44ab27826328ab7371076b24a353b6ea41,300162.0,41248.0,7.2770076,294338.0
014d896fa362b67e224933885eaf97fdd63e3c7052be83ccafd42cca1a26a4ad,101005.0,15787.0,6.3979855,98823.0
014de608025000b9262d081314b63183134596fa9ad852625b595bdceb4a77b9,109911.0,20744.0,5.2984476,106901.0
013875810d88f8b29421abe7ac731e7a64df4b7e9661f0a938a2858da5d53c8a,3115874.0,515928.0,6.039358,3044926.0
00fc8036bb08659199c274d57494f4fe72551e9e9e5d3ceb38645d1e829f9faa,15697856.0,2963034.0,5.2978992,15267944.0
015830b75e62784cf4adfdddad324fa26bf2820eef0ce44fc32108d93e2e42e8,110694.0,22682.0,4.8802576,106531.0
015c8775ff5e46f8ac053936d1652d82db5c1aaa5a275aa1b957f723e8ec9b23,142720.0,30995.0,4.604614,137363.0
014fa84b0808349096449d11f9389187246874a35b952bc656f02d7a3f1701bc,1599147.0,316893.0,5.046331,1542784.0
015cf1b531e681e3ee314634ebcac942924b0f92295f7a23073d5cba62db9b84,260314.0,47254.0,5.508825,253545.0
01624739347214863edd2712bc120178e7d4fda88e62c176323c1bf4b229a597,116411.0,19929.0,5.8412867,113683.0
014a166fc3be3b138d1a37d89e21794fbd0b09bfae77b740c8b40cb6cba41ddf,3092812.0,592225.0,5.2223597,3013333.0
013cde60357af5be252d4b3088d241abcf9990e084efb6861da2aa16a987aff3,5513332.0,1037863.0,5.3121963,5363432.0
01676b8483bb8da94ffea61858cf2efd53e788443925ef3c1df5f2b38d1ab8ee,93388.0,22041.0,4.237013,89903.0
01677b8dcd76f13ca86caa31b03bd66c4971e827a14c1633779d45a7c7d44aed,150687.0,33004.0,4.565719,144961.0
0165b65241102f1c7a7e90b4fe18fdd4cb2f397c5ad1eb70a1efbab891a892d2,1595282.0,264494.0,6.031449,1559056.0
01671b18da1a45897a8d43d8eb857a1fbae77db30dd38083f7151ae7de9b00f0,1193241.0,203802.0,5.854903,1163850.0
0168ddbb52640c36c5a39301cae7da9c006399e9ed32bbc14ddfadb72aff17e8,422197.0,81305.0,5.1927557,410679.0
01716035968bfd7182a04e9fc1c44eb062ab2c7dfa6f93a74335520deca049ae,17234.0,3368.0,5.1169834,16805.0
014257df7960a39fc5dcc2cd41e20703204bea3f31b8619d678b5d7451927c46,5452680.0,1099741.0,4.9581494,5259155.0
0178a4adc4ea3873d5a1700128590fadb67d7dd356b841d60449143a6fdfe4eb,21816.0,5318.0,4.102294,21295.0
