name,file_size,num_nodes,num_edges,num_loops,num_calls,num_jumps,num_ret,num_conditional_jumps,average_out_degree,average_in_degree
00c763f110d095a689c8c227a94ba13cb36df967c4dcfd2b5aab0aba74df78e5,6371443,69284,111851,180,24036,8822,4239,22049,1.6143842734253218,1.6143842734253218
00c937a14667b81fd0d4307e3ad656e2d630c0d4874eb040f617abc768c48226,1910778,23246,25830,0,1475,614,583,2155,1.1111589090596232,1.1111589090596232
00cb061317d9ddb1e47950b09f2653b54a117ed7bd7cb69ef7b55a4c81801e23,103861,1115,1746,14,272,232,68,428,1.5659192825112107,1.5659192825112107
00cb9321ed67cdd051e722ad32fa4cb8a67d029a0a0ae810016be3629b1c963e,1690295,15834,24727,65,5580,725,1525,5975,1.561639509915372,1.561639509915372
00ce609324dd51deb55b1b40403067bdd278c4dd7104ddf727e2abb4ee6cb380,3153294,42861,74015,0,29030,1740,4574,6239,1.7268612491542428,1.7268612491542428
00cec49482dfdaf6a8b06e4be3b22bb7020490bf9f65654170b2486db9aa0d68,2912900,35424,41275,0,2111,1741,392,4044,1.1651705058717254,1.1651705058717254
00cf489246ee0ca801e91e44a1ce9a8f0bffa88b6b42d8cbb09422f608d2459e,120592,1354,2026,10,281,89,99,513,1.4963072378138849,1.4963072378138849
00cfdc9b738a1552acfa3428f66932bd82221c9cad6378f1e0476afee469589f,1476761,15196,17314,1,1156,506,262,1248,1.1393787838904974,1.1393787838904974
00d195f582126a962a4fbf2bde19d25fdb701da25955e5af1cf4f76f22258410,25291,409,626,0,257,15,80,43,1.530562347188264,1.530562347188264
00d62c87ff5f8b976bdcdd769363bb83c2f687af9261645fa1fc21cdd093ca36,35315,396,396,0,0,5,17,29,1.0,1.0
00da1ec8b4b2832056b13e77af850e2bbb22f4d36dd2ae4f7d2c589ada03c4c3,4334537,43555,50864,0,3276,1690,771,4874,1.1678108139134429,1.1678108139134429
00dc15e0f732827b1f30e545853d7eb47fb7c752f455b400cd5e49de2f9509cc,4058648,58117,91254,0,35275,1929,10195,7803,1.5701774007605347,1.5701774007605347
00dc80e49f3bd8932ca4e6d0eba435542eb755d5654e095511815afe70771b28,1339664,20003,30491,1,10274,1046,3801,3681,1.5243213517972305,1.5243213517972305
00dd9c8fc139b9d1a61c99cbe9b07083ed6cca3a0c81a4750386c76774460372,18567,205,236,0,5,5,1,29,1.151219512195122,1.151219512195122
00de41f83e8ee894237c649f1d504f256d0c571b42a63c3cad397021abd2e4e4,411401,4475,7069,31,1293,432,356,1632,1.5796648044692738,1.5796648044692738
00e31d7a2f11052c747ccf42d120690cc2ada52ac1074abcbb6794baca0919d0,2546889,31341,31686,0,174,60,26,254,1.0110079448645544,1.0110079448645544
00e5491a346dbf8da1b842067e878370be1618d23ecb0cb5b683c645af4674a1,3115260,38244,44206,0,2137,2006,401,4139,1.1558937349649618,1.1558937349649618
00e5594e643869464a0cb679f4c006d9221401d1939fac8aa048b2008eb9af18,721681,6594,10362,82,1561,900,458,2712,1.5714285714285714,1.5714285714285714
00e961fa2829f45113d19674d55524c311385cc3b5334095db235f2260f5cebf,13168505,129079,206889,692,56946,10994,12225,35077,1.602809132391791,1.602809132391791
00ea030650f42a85d6ef0c7ffeddd019299becf2d1a67e0bb6848477bc811e15,3552611,39305,62048,142,14609,4545,3221,11378,1.5786286731967942,1.5786286731967942
00ebe3319fdb72a21cf25e2c3d05c620f8c82b36ddc7accc23ee8553649b762d,773685,7484,11907,26,2852,729,674,2280,1.5909941207910208,1.5909941207910208
00efd65ca8eae4834e5e82e8f7d357808b854f8ad930adc41759c3863f7b44f3,522210,6229,7028,0,175,63,32,735,1.1282709905281747,1.1282709905281747
00f02a6cb7e47d77603bbf20876d2397794828cb62cfae341b929976afec513c,181000,1872,2188,0,212,41,22,127,1.1688034188034189,1.1688034188034189
00f15110634e8002a6cedbc1b98f44573f5cd6d841a7d31d53e150c616c8ee6c,3957416,39881,47122,2,3226,1498,659,4747,1.1815651563401115,1.1815651563401115
00f378e525c18d38a5b596b5ea7dd3f0b15276cae8a50410ea8d67e86f1b2cc8,5649756,67859,78118,0,4853,1984,1380,6751,1.151181125569195,1.151181125569195
00f450e5e8ce386e5e8f6231fa5b98ebdf08bb85a4fd3cdca88b1aebabef42e1,38307,407,677,0,218,45,24,77,1.6633906633906634,1.6633906633906634
00f4da6837a0b1fb76971a1cd7ee8cce0b777f91ab1e98339d240ceed8d37412,316774,3761,4133,0,175,62,31,290,1.0989098643977666,1.0989098643977666
00f4f62a8da9ea621d1a02d8de85ae7fc798a7c0972d160df1f67ea60ad2fb30,168929199,2012233,2278084,34,125495,55910,31913,178134,1.1321174038990514,1.1321174038990514
00f911969262b8d8f9834d3b8121c7d840519bd10fc30d64b62317cdcf5b9d20,647114,6186,9554,45,2387,620,525,1724,1.5444552214678309,1.5444552214678309
00fc8036bb08659199c274d57494f4fe72551e9e9e5d3ceb38645d1e829f9faa,15267944,167987,261924,12,21704,11119,5176,77455,1.55919208033955,1.55919208033955
00fe26cfe465740e61b99f105bcf2516ff49e117f23f4b508d5256c57fa3fc66,843606,9289,14419,52,2571,1010,720,3286,1.5522661212186455,1.5522661212186455
00feb7f27c1a52b2a45572607935e8090b20b22b46ce497071a03401b3687b3c,621397,6843,10397,80,1596,776,662,2613,1.519362852550051,1.519362852550051
00ff2a6d7d22cabdf74bb1188a574677c86efcf8954075966f435ab36ed120fc,335066,2888,3187,0,2,1,15,356,1.1035318559556786,1.1035318559556786
0100dd89e7cfd90f3798c598926d86ebbfb8bdb2396b3450153f2187391c286e,2038342,21990,35160,153,6760,2377,1872,8171,1.5989085948158257,1.5989085948158257
0101310c8d6dabca4f0be4ab0de8170f4cb74bd37b15d84bc6ff4d3ad4515268,553428,5916,9705,26,2390,529,397,1816,1.6404665314401623,1.6404665314401623
010312149b971552db10f00830a0817ebb179ac6013292bb4f1db0378f9b9a82,238641,2606,4172,33,1036,295,108,705,1.6009209516500384,1.6009209516500384
0106f2f811e8f9fa6253ac9ac9d6e16f7bac32fcc2235f945d34f18adf73867c,161119,2521,3910,0,1266,91,403,536,1.5509718365727885,1.5509718365727885
0110490ae7d67fd8ecece5aa5a1513d4841448601c3298c43b474ff009a9a618,527985,5668,9028,37,1505,613,405,2210,1.592801693719125,1.592801693719125
01107f302034d2117eee78a8699cad0e3493ab66d6314a17ff21ed49d6f36e2a,19004,211,308,6,63,16,22,65,1.4597156398104263,1.4597156398104263
0110bd0152d75e3b264f99038f3ad6caef177220bb1a16685eb69fc61dd7f513,443889,6742,10600,0,3844,789,759,777,1.5722337585286266,1.5722337585286266
011113ad23b3e3b43ad249b7499f80aba5ce154489cb971331f1803b29ca45c4,1742010,16722,25609,211,3748,2652,1233,6293,1.5314555675158474,1.5314555675158474
0113bddb8c8fe0f2efcd447fe491ed1b61bfa32e17e460c170b8ac959636f2f9,26619,310,310,6,14,6,123,114,1.0,1.0
01142c984a254d62294447a7d2ed396f5c62564c6ef4be1fc003a0fb33a3cd33,3060753,29262,43420,34,9771,2487,3898,9355,1.4838356913403048,1.4838356913403048
011af39373fb58ff14033a527e7e4520c7b02732887d0a216f512a4e47b1c151,6436010,79342,92059,0,8791,2003,2086,5947,1.160280809659449,1.160280809659449
011f4ab1f636a24b2f0b2d0086947a3d394bbef3423ccb52161de8df265220c7,5986044,58922,93784,276,22544,7063,4903,17283,1.591663555208581,1.591663555208581
012010a4458b7bbf279345e6a9ff111acdd1f6b21fdc06b8844545b2a2ff376c,19513677,212100,332485,1205,71004,20549,19628,67540,1.5675860443187175,1.5675860443187175
012146f11c2230a7c5d8fca8060317b9943cffe0e585507cd94b7fcff0fd8aea,92120,985,1545,14,210,198,59,410,1.5685279187817258,1.5685279187817258
0121a9f3ec5baf6e7e7e6f21cb6b1fe3eb807ffc37f66d163730bc79693890be,4788046,50794,81755,490,16419,4112,4104,17959,1.609540496909084,1.609540496909084
0129d770e1374978486a6c8e17b46c30c99a3acfafef4ac154c866dbc7c1bc79,5466642,49329,79235,635,14392,5255,3168,19095,1.6062559549149589,1.6062559549149589
012bddd835ff5926ce3409d8d2752494ad5761bfe94bc1533f63a39066814de5,179895,1668,2492,20,191,325,97,727,1.4940047961630696,1.4940047961630696
012cb2c4528b4ba524cdd3b3dd5ef83755375a766a10b5c41ce58c318b4ac349,2281603,21428,35652,1039,6640,1204,1243,8748,1.6638043681164831,1.6638043681164831
01373bcde6d7564d909d718c610fc3114f325769c2aca84844b0dd0967398cf5,314267,3411,5348,17,1455,491,324,815,1.5678686602169452,1.5678686602169452
013875810d88f8b29421abe7ac731e7a64df4b7e9661f0a938a2858da5d53c8a,3044926,26880,44067,213,5742,2620,917,12474,1.6393973214285715,1.6393973214285715
0139146555814ed3ef16e36fb839dd4265cc5cb033a4500f43ef20b48a506675,22232,372,493,0,136,0,16,4,1.325268817204301,1.325268817204301
013a6b8b693d69626a5cc5ae5f752bd3590e14c389302a15f5e73a2099905b8c,29875166,364582,405675,8,11483,4187,6601,38805,1.1127126407776575,1.1127126407776575
013cde60357af5be252d4b3088d241abcf9990e084efb6861da2aa16a987aff3,5363432,57607,91656,355,15414,6011,3466,21857,1.591056642421928,1.591056642421928
014257df7960a39fc5dcc2cd41e20703204bea3f31b8619d678b5d7451927c46,5259155,74697,118800,3,45584,4424,11911,9865,1.590425318285875,1.590425318285875
